timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/04/16 00:23:51.237, Tesla PG503-216, 41 %, 16 %, 4328 MiB, 43
2026/04/16 00:23:52.237, Tesla PG503-216, 16 %, 6 %, 4328 MiB, 44
2026/04/16 00:23:53.238, Tesla PG503-216, 31 %, 12 %, 4328 MiB, 43
2026/04/16 00:23:54.239, Tesla PG503-216, 40 %, 16 %, 4328 MiB, 43
2026/04/16 00:23:55.239, Tesla PG503-216, 9 %, 3 %, 4328 MiB, 45
2026/04/16 00:23:56.239, Tesla PG503-216, 35 %, 14 %, 4328 MiB, 43
2026/04/16 00:23:57.240, Tesla PG503-216, 29 %, 11 %, 4328 MiB, 44
2026/04/16 00:23:58.240, Tesla PG503-216, 18 %, 7 %, 4328 MiB, 44
2026/04/16 00:23:59.241, Tesla PG503-216, 38 %, 15 %, 4328 MiB, 44
2026/04/16 00:24:00.241, Tesla PG503-216, 38 %, 15 %, 4328 MiB, 43
2026/04/16 00:24:01.242, Tesla PG503-216, 8 %, 1 %, 4328 MiB, 45
2026/04/16 00:24:02.242, Tesla PG503-216, 43 %, 17 %, 4328 MiB, 43
2026/04/16 00:24:03.243, Tesla PG503-216, 38 %, 15 %, 4328 MiB, 43
2026/04/16 00:24:04.243, Tesla PG503-216, 11 %, 3 %, 4332 MiB, 43
2026/04/16 00:24:05.244, Tesla PG503-216, 19 %, 7 %, 4332 MiB, 45
2026/04/16 00:24:06.244, Tesla PG503-216, 14 %, 6 %, 4332 MiB, 43
2026/04/16 00:24:07.245, Tesla PG503-216, 6 %, 0 %, 4332 MiB, 45
2026/04/16 00:24:08.245, Tesla PG503-216, 16 %, 5 %, 4332 MiB, 43
2026/04/16 00:24:09.246, Tesla PG503-216, 17 %, 6 %, 4332 MiB, 43
2026/04/16 00:24:10.246, Tesla PG503-216, 20 %, 8 %, 4332 MiB, 43
2026/04/16 00:24:11.247, Tesla PG503-216, 40 %, 15 %, 4332 MiB, 44
2026/04/16 00:24:12.247, Tesla PG503-216, 27 %, 11 %, 4332 MiB, 43
2026/04/16 00:24:13.248, Tesla PG503-216, 40 %, 15 %, 4332 MiB, 44
2026/04/16 00:24:14.248, Tesla PG503-216, 37 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:15.249, Tesla PG503-216, 27 %, 10 %, 4332 MiB, 45
2026/04/16 00:24:16.249, Tesla PG503-216, 38 %, 15 %, 4332 MiB, 45
2026/04/16 00:24:17.249, Tesla PG503-216, 33 %, 14 %, 4332 MiB, 44
2026/04/16 00:24:18.250, Tesla PG503-216, 15 %, 6 %, 4332 MiB, 44
2026/04/16 00:24:19.250, Tesla PG503-216, 40 %, 15 %, 4332 MiB, 44
2026/04/16 00:24:20.251, Tesla PG503-216, 16 %, 5 %, 4332 MiB, 44
2026/04/16 00:24:21.251, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 45
2026/04/16 00:24:22.252, Tesla PG503-216, 14 %, 5 %, 4332 MiB, 44
2026/04/16 00:24:23.252, Tesla PG503-216, 27 %, 10 %, 4332 MiB, 44
